Frequency,S11,S11-Q,S11-Phase,S11-Phase-Q
4527198663.0,-13.4373189930152,0.0,-2.135281804169727,0.0
4527213662.9995,-13.442757894667894,0.0,-2.2076713492729074,0.0
4527228662.999,-13.442150684690395,0.0,-2.1918033413567617,0.0
4527243662.9985,-13.43646149948912,0.0,-2.1112526536881275,0.0
4527258662.998,-13.435046961114107,0.0,-2.141278289089152,0.0
4527273662.9975,-13.445948298427261,0.0,-2.1241002615732705,0.0
4527288662.997,-13.447644014468096,0.0,-2.1275052099796032,0.0
4527303662.9965,-13.435188131240094,0.0,-2.119263282974626,0.0
4527318662.996,-13.443805933613831,0.0,-2.13195517161961,0.0
4527333662.9955,-13.443151686217291,0.0,-2.117853417736568,0.0
4527348662.995,-13.450090561589414,0.0,-2.144755248251455,0.0
4527363662.9945,-13.442475146469162,0.0,-2.1305970450257052,0.0
4527378662.994,-13.437840274523818,0.0,-2.2102193492044506,0.0
4527393662.9935,-13.440397656105027,0.0,-2.187896456025893,0.0
4527408662.993,-13.43029771341559,0.0,-2.215907022323379,0.0
4527423662.9925,-13.436856209537346,0.0,-2.198199584730356,0.0
4527438662.992,-13.43370977550829,0.0,-2.219077793150763,0.0
4527453662.9915,-13.437700758614916,0.0,-2.174117756763538,0.0
4527468662.991,-13.43763085787762,0.0,-2.185674760676676,0.0
4527483662.9905,-13.441894529116764,0.0,-2.25557152038503,0.0
4527498662.99,-13.44697151673804,0.0,-2.1507881855216224,0.0
4527513662.9895,-13.44089070767282,0.0,-2.1846184856156756,0.0
4527528662.989,-13.441615794783775,0.0,-2.183028092044746,0.0
4527543662.9885,-13.43536562535373,0.0,-2.152565000808372,0.0
4527558662.988,-13.442460656618326,0.0,-2.2001599084717935,0.0
4527573662.9875,-13.435082560989187,0.0,-2.173071243524137,0.0
4527588662.987,-13.438010138698505,0.0,-2.1686948663302905,0.0
4527603662.9865,-13.441173274996316,0.0,-2.1574222821007654,0.0
4527618662.986,-13.438816429418551,0.0,-2.1746405667686486,0.0
4527633662.9855,-13.436252649979208,0.0,-2.216987527118262,0.0
4527648662.985,-13.437314845495118,0.0,-2.1640782007572303,0.0
4527663662.9845,-13.443503124339312,0.0,-2.2045281331894975,0.0
4527678662.984,-13.431599913231366,0.0,-2.2555378900638368,0.0
4527693662.9835,-13.44212354842243,0.0,-2.1771676547971452,0.0
4527708662.983,-13.4361635227946,0.0,-2.1993499639619456,0.0
4527723662.9825,-13.430948090527277,0.0,-2.212585008745941,0.0
4527738662.982,-13.439675392228827,0.0,-2.220518634888959,0.0
4527753662.9815,-13.436592133190173,0.0,-2.2450297662420904,0.0
4527768662.981,-13.43771173938191,0.0,-2.21194475248394,0.0
4527783662.9805,-13.441787331551529,0.0,-2.243230283739046,0.0
4527798662.98,-13.439708071423883,0.0,-2.251508653910376,0.0
4527813662.9795,-13.446102784215787,0.0,-2.2075245295331167,0.0
4527828662.979,-13.448014575979938,0.0,-2.29749297594085,0.0
4527843662.9785,-13.43960490772352,0.0,-2.255711421161565,0.0
4527858662.978,-13.430561258852762,0.0,-2.174620048760807,0.0
4527873662.9775,-13.441547226415778,0.0,-2.2418928106853655,0.0
4527888662.977,-13.438202517759436,0.0,-2.214772597414158,0.0
4527903662.9765,-13.439545036858373,0.0,-2.3157137350186154,0.0
4527918662.976,-13.446804411635863,0.0,-2.2715946801481866,0.0
4527933662.9755,-13.44594320393636,0.0,-2.2495459454812816,0.0
4527948662.975,-13.442715574336253,0.0,-2.1445201115838928,0.0
4527963662.9745,-13.440620216435025,0.0,-2.1825887454249244,0.0
4527978662.974,-13.438900248426958,0.0,-2.2543084515061724,0.0
4527993662.9735,-13.447450524966174,0.0,-2.2309738614904293,0.0
4528008662.973,-13.438817460666117,0.0,-2.2427402135681187,0.0
4528023662.9725,-13.43327541913955,0.0,-2.2809137627886,0.0
4528038662.972,-13.44336870952832,0.0,-2.2150987792970835,0.0
4528053662.9715,-13.43491019843168,0.0,-2.271015118502604,0.0
4528068662.971,-13.43921278393523,0.0,-2.1914363182674403,0.0
4528083662.9705,-13.447249114208937,0.0,-2.2449196764750363,0.0
4528098662.97,-13.446595320066743,0.0,-2.2364636338454726,0.0
4528113662.9695,-13.442055674261473,0.0,-2.17606823961852,0.0
4528128662.969,-13.434496452976108,0.0,-2.2388030621810304,0.0
4528143662.9685,-13.437144089705804,0.0,-2.2918774626054383,0.0
4528158662.968,-13.438085487201178,0.0,-2.286012566089902,0.0
4528173662.9675,-13.43343289225869,0.0,-2.2794068378333066,0.0
4528188662.967,-13.435180624676278,0.0,-2.308785826512804,0.0
4528203662.9665,-13.435832937286262,0.0,-2.2861213067204367,0.0
4528218662.966,-13.44272118067906,0.0,-2.355892240791074,0.0
4528233662.9655,-13.440070182931818,0.0,-2.199387395975764,0.0
4528248662.965,-13.438279417619452,0.0,-2.311028755150353,0.0
4528263662.9645,-13.436040556689136,0.0,-2.287597041169398,0.0
4528278662.964,-13.444926582957144,0.0,-2.3072867574388445,0.0
4528293662.9635,-13.436732998188381,0.0,-2.215072994762612,0.0
4528308662.963,-13.443468476855502,0.0,-2.287127666670244,0.0
4528323662.9625,-13.448615741071428,0.0,-2.2683233298814383,0.0
4528338662.962,-13.444117573683803,0.0,-2.301142326366634,0.0
4528353662.9615,-13.438568673065255,0.0,-2.2520224073293087,0.0
4528368662.961,-13.439484108076801,0.0,-2.2708634187011403,0.0
4528383662.9605,-13.455396565077184,0.0,-2.3338136448389633,0.0
4528398662.96,-13.43926373307038,0.0,-2.36461260214448,0.0
4528413662.9595,-13.434162158321532,0.0,-2.3000315770067,0.0
4528428662.959,-13.430319098492763,0.0,-2.307488405513007,0.0
4528443662.9585,-13.450022727976197,0.0,-2.2646286804733573,0.0
4528458662.958,-13.440027221143424,0.0,-2.271502264778418,0.0
4528473662.9575,-13.429563525551025,0.0,-2.3205899651606967,0.0
4528488662.957,-13.438643182394408,0.0,-2.3305893529349437,0.0
4528503662.9565,-13.4476315162085,0.0,-2.251512413217276,0.0
4528518662.956,-13.441172823278386,0.0,-2.3465255600267754,0.0
4528533662.9555,-13.43982989238955,0.0,-2.3627628129949176,0.0
4528548662.955,-13.431951698415531,0.0,-2.2967149059259455,0.0
4528563662.9545,-13.435578560331834,0.0,-2.3252905257258254,0.0
4528578662.954,-13.434103911869457,0.0,-2.362444573530661,0.0
4528593662.9535,-13.439097583472378,0.0,-2.3223730934631686,0.0
4528608662.953,-13.4357854845681,0.0,-2.312714956574536,0.0
4528623662.9525,-13.43276471304421,0.0,-2.3424141294742533,0.0
4528638662.952,-13.43527830128018,0.0,-2.351229033975989,0.0
4528653662.9515,-13.443605120489261,0.0,-2.333702580640989,0.0
4528668662.951,-13.437585104883443,0.0,-2.3231398953921225,0.0
4528683662.9505,-13.43876946831356,0.0,-2.253597069843368,0.0
4528698662.95,-13.445821042250117,0.0,-2.3722443348439186,0.0
4528713662.9495,-13.442249612835402,0.0,-2.3183020728093497,0.0
4528728662.949,-13.448205164568876,0.0,-2.3760757550621334,0.0
4528743662.9485,-13.449336704556652,0.0,-2.2595334493060366,0.0
4528758662.948,-13.435053185539338,0.0,-2.338648601178553,0.0
4528773662.9475,-13.441972975133947,0.0,-2.3504308732400534,0.0
4528788662.947,-13.437556670768156,0.0,-2.3124126322336678,0.0
4528803662.9465,-13.44276486524683,0.0,-2.3970926495484686,0.0
4528818662.946,-13.432149483105785,0.0,-2.3637295539473886,0.0
4528833662.9455,-13.4418553828937,0.0,-2.4326083450653218,0.0
4528848662.945,-13.441268608731571,0.0,-2.3509532293524438,0.0
4528863662.9445,-13.446483391419566,0.0,-2.3213345320336423,0.0
4528878662.944,-13.442379376861615,0.0,-2.342322276280341,0.0
4528893662.9435,-13.445010515545931,0.0,-2.3153886821130016,0.0
4528908662.943,-13.449845900786704,0.0,-2.4042603225669255,0.0
4528923662.9425,-13.43632381787337,0.0,-2.360181051393215,0.0
4528938662.942,-13.438251460186702,0.0,-2.405132248905879,0.0
4528953662.9415,-13.440238905767295,0.0,-2.361749472940012,0.0
4528968662.941,-13.451126431904445,0.0,-2.339037928065515,0.0
4528983662.9405,-13.445331281413937,0.0,-2.376465544140074,0.0
4528998662.94,-13.44483456796713,0.0,-2.4214915837643236,0.0
4529013662.9395,-13.445131614154224,0.0,-2.4258930380130352,0.0
4529028662.939,-13.441389499074482,0.0,-2.3733071918856457,0.0
4529043662.9385,-13.441130113487576,0.0,-2.4476401816001454,0.0
4529058662.938,-13.436385267560336,0.0,-2.3652772192917126,0.0
4529073662.9375,-13.436522752786361,0.0,-2.411790929202968,0.0
4529088662.937,-13.433692285587197,0.0,-2.3346163883406312,0.0
4529103662.9365,-13.438216692678377,0.0,-2.412549545176223,0.0
4529118662.936,-13.432672406674609,0.0,-2.4329605240724246,0.0
4529133662.9355,-13.450184399400042,0.0,-2.368698195342459,0.0
4529148662.935,-13.43100703180122,0.0,-2.3980461942337894,0.0
4529163662.9345,-13.448572201655155,0.0,-2.4616328733579977,0.0
4529178662.934,-13.438782161488326,0.0,-2.406295057945125,0.0
4529193662.9335,-13.445173969870638,0.0,-2.4719192649423922,0.0
4529208662.933,-13.436655856290084,0.0,-2.4062829017302234,0.0
4529223662.9325,-13.444910151634765,0.0,-2.384260078490404,0.0
4529238662.932,-13.446015625526329,0.0,-2.405479147420266,0.0
4529253662.9315,-13.44577916729677,0.0,-2.3613185191609114,0.0
4529268662.931,-13.44053497898015,0.0,-2.465954054980556,0.0
4529283662.9305,-13.444084942352106,0.0,-2.473823576107741,0.0
4529298662.93,-13.43698624826674,0.0,-2.375843515801585,0.0
4529313662.9295,-13.443651363182362,0.0,-2.4980473546720487,0.0
4529328662.929,-13.443728007870966,0.0,-2.42521594978434,0.0
4529343662.9285,-13.436102597699586,0.0,-2.421326600949647,0.0
4529358662.928,-13.435298771194722,0.0,-2.453126624408698,0.0
4529373662.9275,-13.451914926546294,0.0,-2.430582051443724,0.0
4529388662.927,-13.450414467193747,0.0,-2.3718687121731157,0.0
4529403662.9265,-13.448013187666703,0.0,-2.4220073955980874,0.0
4529418662.926,-13.440178571967955,0.0,-2.411209606504735,0.0
